Serial Number,Error Type,Ungrammatical Statement,Standard English
575,Spelling Mistakes,77. The train was delayed due to a problem with the rail tracks.,77. The train was delayed due to a problem with the railroad tracks.
576,Spelling Mistakes,"78. The car's breaks failed, causing it to crash into a tree.","78. The car's brakes failed, causing it to crash into a tree."
577,Spelling Mistakes,79. The kids were playing in the sandbox and building sandcastels.,79. The kids were playing in the sandbox and building sandcastles.
578,Spelling Mistakes,80. The boy cutted his finger while peeling the apple.,80. The boy cut his finger while peeling the apple.
579,Spelling Mistakes,81. The ice cream was melting quickly in the hot summer sun.,81. The ice cream was melting quickly in the hot summer sun.
580,Spelling Mistakes,"82. The meeting was schedule for 3pm, but it was postponed.","82. The meeting was scheduled for 3 pm, but it was postponed."
581,Spelling Mistakes,83. I asked her to call me when she arives at the airport.,83. I asked her to call me when she arrives at the airport.
582,Spelling Mistakes,84. The city is facing a water shortage due to the ongoing drought.,84. The city is facing a water shortage due to the ongoing drought.
583,Spelling Mistakes,85. The elephant is the largest mamal on Earth.,85. The elephant is the largest mammal on Earth.
584,Spelling Mistakes,86. The teacher asked the students to be quite during the test.,86. The teacher asked the students to be quiet during the test.
585,Spelling Mistakes,87. The car was parked on the street and had a flat tyre.,87. The car was parked on the street and had a flat tire.
586,Spelling Mistakes,88. The football player scored a goal in the last minute of the game.,88. The football player scored a goal in the last minute of the game.
587,Spelling Mistakes,89. The little girl was looking forward to her birthay party.,89. The little girl was looking forward to her birthday party.
588,Spelling Mistakes,90. He bought a new pair of shoes that were very unconfortable.,90. He bought a new pair of shoes that were very uncomfortable.
589,Spelling Mistakes,91. The scientist presented his research findings at the conference.,91. The scientist presented his research findings at the conference.
590,Spelling Mistakes,92. She was a great cook and her lasagna was delisious.,"92. She was a great cook, and her lasagna was delicious."
591,Spelling Mistakes,"93. The bakery sells donuts, bagels, and various kind of breads.","93. The bakery sells donuts, bagels, and various kinds of bread."
592,Spelling Mistakes,94. She was afraid of hights and couldn't climb the ladder.,94. She was afraid of heights and couldn't climb the ladder.
593,Spelling Mistakes,95. The laptop was pluged in but it wasn't charging.,"95. The laptop was plugged in, but it wasn't charging."
594,Spelling Mistakes,96. The store clerk was counting the money in the cash register.,96. The store clerk was counting the money in the cash register.
595,Spelling Mistakes,97. The tourists were taking pictures of the beautful waterfall.,97. The tourists were taking pictures of the beautiful waterfall.
596,Spelling Mistakes,98. The conference room was equiped with a projector and whiteboard.,98. The conference room was equipped with a projector and whiteboard.
597,Spelling Mistakes,99. The doctor adviced her to exercise regularly and eat healthy.,99. The doctor advised her to exercise regularly and eat healthily.
598,Spelling Mistakes,100. The company is celebrating it's 10th anniversary this year.,100. The company is celebrating its 10th anniversary this year.
599,Punctuation Errors,I dont know what your talking about.,I don’t know what you’re talking about.
600,Punctuation Errors,She said that she was going to the store but she never came back.,"She said that she was going to the store, but she never came back."
601,Punctuation Errors,Its a beautiful day isnt it?,"It’s a beautiful day, isn’t it?"
602,Punctuation Errors,He likes pizza pasta and burgers.,"He likes pizza, pasta, and burgers."
603,Punctuation Errors,Where are you going? asked Mary.,“Where are you going?” asked Mary.
604,Punctuation Errors,The teacher gave us alot of homework.,The teacher gave us a lot of homework.
605,Punctuation Errors,Theyre dog is very cute.,Their dog is very cute.
606,Punctuation Errors,No I dont want to go there.,"No, I don’t want to go there."
607,Punctuation Errors,Can you help me with this problem?,Can you help me with this problem?
608,Punctuation Errors,He said I’m sorry.,"He said, “I’m sorry.”"
609,Punctuation Errors,She is a smart talented and kind person.,"She is a smart, talented, and kind person."
610,Punctuation Errors,I love reading books especially novels.,"I love reading books, especially novels."
611,Punctuation Errors,How are you doing today?,How are you doing today?
612,Punctuation Errors,The movie was very interesting however it was too long.,"The movie was very interesting; however, it was too long."
613,Punctuation Errors,I have been to Paris London and Rome.,"I have been to Paris, London, and Rome."
614,Punctuation Errors,He is not only a good singer but also a good dancer.,He is not only a good singer but also a good dancer.
615,Punctuation Errors,She forgot to bring her umbrella so she got wet.,"She forgot to bring her umbrella, so she got wet."
616,Punctuation Errors,What time is it? he wondered.,“What time is it?” he wondered.
617,Punctuation Errors,I like chocolate cake but not vanilla.,"I like chocolate cake, but not vanilla."
618,Punctuation Errors,He was late for the meeting because of the traffic.,He was late for the meeting because of the traffic.
619,Punctuation Errors,"Their going too the store, want anything?",They're going to the store; want anything?
620,Punctuation Errors,"The dog wagged it's tail, and barked.",The dog wagged its tail and barked.
621,Punctuation Errors,"I love reading books, like; Harry Potter, and Lord of the Rings.","I love reading books, like Harry Potter and Lord of the Rings."
622,Punctuation Errors,"The meeting, is at 2:00 PM please arrive early.",The meeting is at 2:00 PM; please arrive early.
623,Punctuation Errors,"She said""the party was great!"":","She said, ""The party was great!"""
624,Punctuation Errors,"The Earth, revolves around the Sun.",The Earth revolves around the Sun.
625,Punctuation Errors,"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
626,Punctuation Errors,"The results of the experiment were inconclusive, however they warrant further investigation.","The results of the experiment were inconclusive; however, they warrant further investigation."
627,Punctuation Errors,"I have to go to the bank, get groceries, and pick up the kids from school.","I have to go to the bank, get groceries, and pick up the kids from school."
628,Punctuation Errors,"What are you doing tonight, I thought we could watch a movie.",What are you doing tonight? I thought we could watch a movie.
629,Punctuation Errors,If the weather's nice we'll go to the park.,"If the weather's nice, we'll go to the park."
630,Punctuation Errors,In her free time she enjoys cooking playing tennis and reading.,"In her free time, she enjoys cooking, playing tennis, and reading."
631,Punctuation Errors,I need to buy bread milk eggs and cheese.,"I need to buy bread, milk, eggs, and cheese."
632,Punctuation Errors,"John's favorite subjects are history, math and science.","John's favorite subjects are history, math, and science."
633,Punctuation Errors,"When the alarm went off, she hit snooze and went back to sleep.","When the alarm went off, she hit snooze and went back to sleep."
634,Punctuation Errors,"She asked ""Can you help me with my homework?""","She asked, ""Can you help me with my homework?"""
635,Punctuation Errors,The movie was amazing it blew my mind!,The movie was amazing; it blew my mind!
636,Punctuation Errors,"My phone's battery is dead, I need to charge it!",My phone's battery is dead; I need to charge it!
637,Punctuation Errors,"First, preheat the oven to 350°F then mix all the ingredients together.","First, preheat the oven to 350°F; then mix all the ingredients together."
638,Punctuation Errors,I can't find my keys have you seen them?,I can't find my keys; have you seen them?
639,Punctuation Errors,"We went to the beach, it was a beautiful day!",We went to the beach; it was a beautiful day!
640,Punctuation Errors,"She shouted""Stop that right now!""","She shouted, ""Stop that right now!"""
641,Punctuation Errors,"The cake was delicious, however it was too sweet for my taste.","The cake was delicious; however, it was too sweet for my taste."
642,Punctuation Errors,"I have to study for my exam clean the house, and do the laundry.","I have to study for my exam, clean the house, and do the laundry."
643,Punctuation Errors,"Her favorite colors are blue, purple and green.","Her favorite colors are blue, purple, and green."
644,Punctuation Errors,"The conference starts at 9:00 AM, make sure to bring your ID.",The conference starts at 9:00 AM; make sure to bring your ID.
645,Punctuation Errors,"I tried calling you, but you didn't answer, your phone.","I tried calling you, but you didn't answer your phone."
646,Punctuation Errors,The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
647,Punctuation Errors,"I'm going to the gym, after that, I'll cook dinner.","I'm going to the gym; after that, I'll cook dinner."
648,Punctuation Errors,"He's a great singer, and dancer too.",He's a great singer and dancer too.
649,Punctuation Errors,"Before leaving the house, don't forget to lock the door, and turn off the lights.","Before leaving the house, don't forget to lock the door and turn off the lights."
650,Punctuation Errors,The concert was amazing I had a fantastic time!,The concert was amazing; I had a fantastic time!
651,Punctuation Errors,"I have a dentist appointment at 3:00 PM, I need to leave work early.",I have a dentist appointment at 3:00 PM; I need to leave work early.
652,Punctuation Errors,She was late for the meeting which caused some issues.,"She was late for the meeting, which caused some issues."
653,Punctuation Errors,"The new restaurant opened today, the food was delicious.",The new restaurant opened today; the food was delicious.
654,Punctuation Errors,"When I visited Paris, I went to the Louvre Museum, and the Eiffel Tower.","When I visited Paris, I went to the Louvre Museum and the Eiffel Tower."
655,Punctuation Errors,"I'll bring snacks, you can bring drinks, to the party.",I'll bring snacks; you can bring drinks to the party.
656,Punctuation Errors,"I don't like seafood, but I enjoy sushi.","I don't like seafood, but I enjoy sushi."
657,Punctuation Errors,"The sunset was beautiful, we took many pictures.",The sunset was beautiful; we took many pictures.
658,Punctuation Errors,"The book is interesting, it's about ancient civilizations.",The book is interesting; it's about ancient civilizations.
659,Capitalization Errors,i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
660,Capitalization Errors,"my iphone suddenly stopped working, can you help?","My iPhone suddenly stopped working, can you help?"
661,Capitalization Errors,the amazon rainforest is the largest tropical rainforest in the world.,The Amazon Rainforest is the largest tropical rainforest in the world.
662,Capitalization Errors,please submit your application to the department of human resources.,Please submit your application to the Department of Human Resources.
663,Capitalization Errors,the pacific ocean is the largest and deepest ocean on Earth.,The Pacific Ocean is the largest and deepest ocean on Earth.
664,Capitalization Errors,he left for los angeles early in the morning.,He left for Los Angeles early in the morning.
665,Capitalization Errors,"in the united states, the president is elected every four years.","In the United States, the president is elected every four years."
666,Capitalization Errors,can you pick up some coca-cola from the store?,Can you pick up some Coca-Cola from the store?
667,Capitalization Errors,i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
668,Capitalization Errors,"the eiffel tower is a popular tourist attraction in paris, france.","The Eiffel Tower is a popular tourist attraction in Paris, France."
669,Capitalization Errors,"the grand canyon is a must-visit destination in arizona, usa.","The Grand Canyon is a must-visit destination in Arizona, USA."
670,Capitalization Errors,i need to book a flight to london on british airways.,I need to book a flight to London on British Airways.
671,Capitalization Errors,i recently watched the movie inception directed by christopher nolan.,I recently watched the movie Inception directed by Christopher Nolan.
672,Capitalization Errors,the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
673,Capitalization Errors,the international space station orbits Earth every 90 minutes.,The International Space Station orbits Earth every 90 minutes.
674,Capitalization Errors,she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
675,Capitalization Errors,the book pride and prejudice was written by jane austen.,The book Pride and Prejudice was written by Jane Austen.
676,Capitalization Errors,mount everest is the highest peak in the world.,Mount Everest is the highest peak in the world.
677,Capitalization Errors,the mona lisa is a famous painting by leonardo da vinci.,The Mona Lisa is a famous painting by Leonardo da Vinci.
678,Capitalization Errors,the national aeronautics and space administration (nasa) was founded in 1958.,The National Aeronautics and Space Administration (NASA) was founded in 1958.
679,Capitalization Errors,she is a doctor and he is a lawyer.,She is a doctor and he is a lawyer.
680,Capitalization Errors,the sun rises in the east and sets in the west.,The sun rises in the east and sets in the west.
681,Capitalization Errors,what is your name?,What is your name?
682,Capitalization Errors,"i have two cats, tom and jerry.","I have two cats, Tom and Jerry."
683,Capitalization Errors,we went to paris last summer.,We went to Paris last summer.
684,Capitalization Errors,"he said, “i’m sorry.”","He said, “I’m sorry.”"
685,Capitalization Errors,"i like pizza, pasta, and ice cream.","I like pizza, pasta, and ice cream."
686,Capitalization Errors,my birthday is on january 1st.,My birthday is on January 1st.
687,Capitalization Errors,harry potter is a famous book series by j.k. rowling.,Harry Potter is a famous book series by J.K. Rowling.
688,Capitalization Errors,i don’t know how to play chess.,I don’t know how to play chess.
689,Capitalization Errors,can you help me with my homework?,Can you help me with my homework?
690,Capitalization Errors,this is a beautiful painting by vincent van gogh.,This is a beautiful painting by Vincent van Gogh.
691,Capitalization Errors,i’m going to the movies with my friends.,I’m going to the movies with my friends.
692,Capitalization Errors,do you like chocolate or vanilla?,Do you like chocolate or vanilla?
693,Capitalization Errors,"i live in new delhi, the capital of india.","I live in New Delhi, the capital of India."
694,Capitalization Errors,she loves reading books by jane austen.,She loves reading books by Jane Austen.
695,Capitalization Errors,i’m learning spanish and french.,I’m learning Spanish and French.
696,Capitalization Errors,"he works at google, a tech company.","He works at Google, a tech company."
697,Capitalization Errors,"i’m a fan of beyoncé, a famous singer.","I’m a fan of Beyoncé, a famous singer."
698,Capitalization Errors,we celebrate christmas on december 25th.,We celebrate Christmas on December 25th.
699,Word Choice/Usage,The weather outside is very extreem today.,The weather outside is very extreme today.
700,Word Choice/Usage,She didn't excepted the job offer.,She didn't accept the job offer.
701,Word Choice/Usage,I want to loose some weight before the event.,I want to lose some weight before the event.
702,Word Choice/Usage,He was effected by the new regulations.,He was affected by the new regulations.
703,Word Choice/Usage,Please be advise on the new office policy.,Please be advised on the new office policy.
704,Word Choice/Usage,She gave a complimentary to her colleague.,She gave a compliment to her colleague.
705,Word Choice/Usage,The guests were impressed by the luxurious desert.,The guests were impressed by the luxurious dessert.
706,Word Choice/Usage,The principle called a meeting with the teachers.,The principal called a meeting with the teachers.
707,Word Choice/Usage,Can you tell me the currant exchange rate?,Can you tell me the current exchange rate?
708,Word Choice/Usage,The author's preface is followed by a forward.,The author's preface is followed by a foreword.
709,Word Choice/Usage,Your computer has a virus and needs to be de-fragmented.,Your computer has a virus and needs to be defragmented.
710,Word Choice/Usage,I need to buy a new pear of sneakers.,I need to buy a new pair of sneakers.
711,Word Choice/Usage,He was wearing a suite to the interview.,He was wearing a suit to the interview.
712,Word Choice/Usage,The movie was based on a true storey.,The movie was based on a true story.
713,Word Choice/Usage,I have a soar throat and a headache.,I have a sore throat and a headache.
714,Word Choice/Usage,The company is planning to launch its new product next weak.,The company is planning to launch its new product next week.
715,Word Choice/Usage,She was very discrete about her personal life.,She was very discreet about her personal life.
716,Word Choice/Usage,The scientists were studying the affects of pollution on health.,The scientists were studying the effects of pollution on health.
717,Word Choice/Usage,The suspect will be trialed in court next month.,The suspect will be tried in court next month.
718,Word Choice/Usage,"Could you pass me the flour, please?","Could you pass me the flower, please?"
719,Word Choice/Usage,She excepted his offer with gratitude.,She accepted his offer with gratitude.
720,Word Choice/Usage,He was very adapt at playing chess.,He was very adept at playing chess.
721,Word Choice/Usage,The affect of the storm was devastating.,The effect of the storm was devastating.
722,Word Choice/Usage,They had a lot of fun at the principle’s office.,They had a lot of fun at the principal’s office.
723,Word Choice/Usage,She complimented him on his descent performance.,She complimented him on his decent performance.
724,Word Choice/Usage,"He was feeling board, so he decided to read a book.","He was feeling bored, so he decided to read a book."
725,Word Choice/Usage,She was very conscience of her appearance.,She was very conscious of her appearance.
726,Word Choice/Usage,He advised her to be discreet about her plans.,He advised her to be discreet about her plans.
727,Word Choice/Usage,She had a flair for writing poetry.,She had a flair for writing poetry.
728,Word Choice/Usage,He was not fazed by the criticism.,He was not fazed by the criticism.
729,Word Choice/Usage,She gave him a piece of her mind.,She gave him a piece of her mind.
730,Word Choice/Usage,He was very weary after the long journey.,He was very weary after the long journey.
731,Word Choice/Usage,She had a personal stake in the outcome.,She had a personal stake in the outcome.
732,Word Choice/Usage,He complimented her on her beautiful hair.,He complimented her on her beautiful hair.
733,Word Choice/Usage,She was very discrete in her dealings.,She was very discreet in her dealings.
734,Word Choice/Usage,He had a lot of patients as a doctor.,He had a lot of patients as a doctor.
735,Word Choice/Usage,She was very complementary to his work.,She was very complimentary to his work.
736,Word Choice/Usage,He had a hard time choosing between the two options.,He had a hard time choosing between the two options.
737,Word Choice/Usage,She was very reluctant to except his apology.,She was very reluctant to accept his apology.
738,Word Choice/Usage,He was very confidant in his abilities.,He was very confident in his abilities.
739,Run-on Sentences,I went to the store I bought groceries.,"I went to the store, and I bought groceries."
740,Run-on Sentences,She loves reading she reads every night.,"She loves reading, so she reads every night."
741,Run-on Sentences,The sun is shining it's a beautiful day.,The sun is shining; it's a beautiful day.
742,Run-on Sentences,He failed the test he didn't study enough.,He failed the test because he didn't study enough.
743,Run-on Sentences,The cake is delicious everyone enjoyed it.,"The cake is delicious, and everyone enjoyed it."
744,Run-on Sentences,I like to travel I've been to many countries.,"I like to travel, as I've been to many countries."
745,Run-on Sentences,The conference starts at 9 AM it ends at 5 PM.,"The conference starts at 9 AM, and it ends at 5 PM."
746,Run-on Sentences,The computer is running slow it needs an upgrade.,"The computer is running slow, so it needs an upgrade."
747,Run-on Sentences,She forgot her umbrella it started to rain.,"She forgot her umbrella, and then it started to rain."
748,Run-on Sentences,The movie was boring we left early.,"The movie was boring, so we left early."
749,Run-on Sentences,He's a talented musician he plays multiple instruments.,"He's a talented musician, as he plays multiple instruments."
750,Run-on Sentences,The flowers are blooming spring has arrived.,The flowers are blooming since spring has arrived.
751,Run-on Sentences,I'm allergic to cats I can't have one as a pet.,"I'm allergic to cats, so I can't have one as a pet."
752,Run-on Sentences,She wasn't feeling well she went to the doctor.,"She wasn't feeling well, so she went to the doctor."
753,Run-on Sentences,The restaurant was crowded we had to wait for a table.,"The restaurant was crowded, and we had to wait for a table."
754,Run-on Sentences,He saw the advertisement he decided to apply.,"He saw the advertisement, and he decided to apply."
755,Run-on Sentences,She wants to lose weight she started exercising.,"She wants to lose weight, so she started exercising."
756,Run-on Sentences,The car was out of gas he had to walk to the nearest station.,"The car was out of gas, so he had to walk to the nearest station."
757,Run-on Sentences,The laptop battery died he couldn't finish his work.,"The laptop battery died, and he couldn't finish his work."
758,Run-on Sentences,The project deadline is approaching they're working late hours.,"The project deadline is approaching, so they're working late hours."
759,Run-on Sentences,She loves reading books she reads every day.,"She loves reading books, and she reads every day."
760,Run-on Sentences,He wanted to go to the park but his mother said no.,"He wanted to go to the park, but his mother said no."
761,Run-on Sentences,I like chocolate cake it is my favorite dessert.,I like chocolate cake; it is my favorite dessert.
762,Run-on Sentences,They went to the museum they saw many paintings.,"They went to the museum, where they saw many paintings."
763,Run-on Sentences,She is a good singer she has a beautiful voice.,She is a good singer because she has a beautiful voice.
764,Run-on Sentences,He studied hard for the exam he passed with flying colors.,"He studied hard for the exam, and he passed with flying colors."
765,Run-on Sentences,I have a dog his name is Max.,"I have a dog, and his name is Max."
766,Run-on Sentences,She was hungry she decided to order pizza.,"She was hungry, so she decided to order pizza."
767,Run-on Sentences,He likes to play soccer he is very good at it.,"He likes to play soccer, which he is very good at."
768,Run-on Sentences,I went to the store I bought some milk and eggs.,"I went to the store, where I bought some milk and eggs."
769,Run-on Sentences,She is a doctor she works at a hospital.,She is a doctor who works at a hospital.
770,Run-on Sentences,He was tired he went to bed early.,"He was tired, so he went to bed early."
771,Run-on Sentences,I love music I listen to it all the time.,"I love music, and I listen to it all the time."
772,Run-on Sentences,They are friends they met in college.,They are friends who met in college.
773,Run-on Sentences,She likes to travel she has been to many countries.,"She likes to travel, and she has been to many countries."
774,Run-on Sentences,He is smart he knows a lot of things.,"He is smart, and he knows a lot of things."
775,Run-on Sentences,I have a cat her name is Luna.,"I have a cat, and her name is Luna."
776,Run-on Sentences,He is a teacher he teaches math.,He is a teacher who teaches math.
777,Run-on Sentences,She was happy she got a promotion.,"She was happy, for she got a promotion."
778,Run-on Sentences,He likes to watch movies he has a large collection of DVDs.,"He likes to watch movies, and he has a large collection of DVDs."
779,Sentence Fragments,"Eating an apple, hungry.",I was eating an apple because I was hungry.
780,Sentence Fragments,She late for meeting.,She was late for the meeting.
781,Sentence Fragments,He the best teacher.,He is the best teacher.
782,Sentence Fragments,Can you me a favor?,Can you do me a favor?
783,Sentence Fragments,"The cat on the roof, playing.",The cat was playing on the roof.
784,Sentence Fragments,I my phone in my bag.,I left my phone in my bag.
785,Sentence Fragments,"The sun bright, sunglasses needed.",The sun was so bright that sunglasses were needed.
786,Sentence Fragments,"She crying, felt sad.",She was crying because she felt sad.
787,Sentence Fragments,"The cake the oven, baking.","The cake was in the oven, baking."
788,Sentence Fragments,"They the store, buying groceries.","They were at the store, buying groceries."
789,Sentence Fragments,"The car, dirty, needs cleaning.",The car is dirty and needs cleaning.
790,Sentence Fragments,"I my laptop, working on a project.",I was using my laptop to work on a project.
791,Sentence Fragments,"The concert, loud, people dancing.","The concert was loud, and people were dancing."
792,Sentence Fragments,"The rain, heavy, streets flooded.","The rain was heavy, and the streets were flooded."
793,Sentence Fragments,"The dog, barking, someone at the door.",The dog was barking because there was someone at the door.
794,Sentence Fragments,"He the gym, exercising.","He was at the gym, exercising."
795,Sentence Fragments,"The movie, interesting, everyone engaged.","The movie was interesting, and everyone was engaged."
796,Sentence Fragments,"The flowers, blooming, spring arrived.",The flowers were blooming because spring had arrived.
797,Sentence Fragments,"The wind, strong, trees swaying.","The wind was strong, and the trees were swaying."
798,Sentence Fragments,"The package, delivered, on the porch.",The package was delivered and left on the porch.
799,Sentence Fragments,"The book, fascinating, couldn't put it down.",The book was so fascinating that I couldn't put it down.
800,Sentence Fragments,"The water, boiling, ready for tea.",The water was boiling and ready for tea.
801,Sentence Fragments,"She the store, looking for shoes.","She was at the store, looking for shoes."
802,Sentence Fragments,"The party, crowded, everyone having fun.","The party was crowded, and everyone was having fun."
803,Sentence Fragments,"The computer, slow, needs an upgrade.",The computer is slow and needs an upgrade.
804,Sentence Fragments,"The beach, crowded, people sunbathing.","The beach was crowded, with people sunbathing."
805,Sentence Fragments,"The restaurant, busy, waiters running around.","The restaurant was busy, with waiters running around."
806,Sentence Fragments,"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
807,Sentence Fragments,"The garden, beautiful, flowers everywhere.","The garden was beautiful, with flowers everywhere."
808,Sentence Fragments,"The music, soothing, people relaxing.","The music was soothing, and people were relaxing."
809,Sentence Fragments,"The snow, falling, children playing outside.","The snow was falling, and children were playing outside."
810,Sentence Fragments,"The painting, captivating, people admiring it.","The painting was captivating, with people admiring it."
811,Sentence Fragments,"The coffee, hot, perfect for a cold day.","The coffee was hot, which was perfect for a cold day."
812,Sentence Fragments,"She her room, cleaning up.","She was in her room, cleaning up."
813,Sentence Fragments,"The game, intense, fans cheering loudly.","The game was intense, with fans cheering loudly."
814,Sentence Fragments,"The baby, asleep, parents relieved.","The baby was asleep, and the parents were relieved."
815,Sentence Fragments,"The stars, shining, beautiful night sky.",The stars were shining in the beautiful night sky.
816,Sentence Fragments,"The lecture, informative, students taking notes.","The lecture was informative, with students taking notes."
817,Sentence Fragments,"The train, arriving, passengers boarding.","The train was arriving, and passengers were boarding."
818,Sentence Fragments,"The cake, delicious, everyone wanting more.","The cake was delicious, with everyone wanting more."
819,Redundancy/Repetition,I went to the store store.,I went to the store.
820,Redundancy/Repetition,"At 3 PM in the afternoon, I have a meeting.","At 3 PM, I have a meeting."
821,Redundancy/Repetition,He accidentally made the same mistake twice.,He accidentally made the same mistake.
822,Redundancy/Repetition,"She bought a new car, a brand new car.",She bought a new car.
823,Redundancy/Repetition,"The instructions were unclear, not clear.",The instructions were unclear.
824,Redundancy/Repetition,I need to buy new shoes because my old shoes are old.,I need to buy new shoes because my old ones are worn.
825,Redundancy/Repetition,The pizza was so delicious and very tasty.,The pizza was delicious.
826,Redundancy/Repetition,He is always continuously working on his projects.,He is always working on his projects.
827,Redundancy/Repetition,She traveled to many different various countries.,She traveled to many countries.
828,Redundancy/Repetition,The store is closed today due to the holiday holiday.,The store is closed today due to the holiday.
829,Redundancy/Repetition,The movie was boring and it was not interesting.,The movie was boring.
830,Redundancy/Repetition,John whispered quietly so that nobody could hear.,John whispered so that nobody could hear.
831,Redundancy/Repetition,"Please RSVP in advance, ahead of time.",Please RSVP in advance.
832,Redundancy/Repetition,"I want to buy a new shirt, but first I have to save up some money, some cash.","I want to buy a new shirt, but first I have to save up some money."
833,Redundancy/Repetition,The little small puppy was so cute.,The little puppy was so cute.
834,Redundancy/Repetition,She was angry and furious about the situation.,She was furious about the situation.
835,Redundancy/Repetition,I have to finish my work by the end of the day today.,I have to finish my work by the end of the day.
836,Redundancy/Repetition,The athlete ran quickly with great speed.,The athlete ran quickly.
837,Redundancy/Repetition,The cake is sweet and has a sugary taste.,The cake is sweet.
838,Redundancy/Repetition,I'll email you the details and the information.,I'll email you the details.
839,Mixed Metaphors/Idioms,1. Let's not open up that can of worms in the same boat.,1. Let's not open up that can of worms.
840,Mixed Metaphors/Idioms,2. You're comparing apples to oranges while the cat's away.,2. You're comparing apples to oranges.
841,Mixed Metaphors/Idioms,3. You can't judge a book by its cover with a grain of salt.,3. You can't judge a book by its cover.
842,Mixed Metaphors/Idioms,"4. She's burning the candle at both ends, and it takes two to tango.",4. She's burning the candle at both ends.
843,Mixed Metaphors/Idioms,5. Let's not put all our eggs in one basket out of the frying pan and into the fire.,5. Let's not put all our eggs in one basket.
844,Mixed Metaphors/Idioms,"6. He's driving me up the wall, but there's no smoke without fire.",6. He's driving me up the wall.
845,Mixed Metaphors/Idioms,"7. I'll cross that bridge when I come to it, but a bird in the hand is worth two in the bush.",7. I'll cross that bridge when I come to it.
846,Mixed Metaphors/Idioms,8. She's biting off more than she can chew between a rock and a hard place.,8. She's biting off more than she can chew.
847,Mixed Metaphors/Idioms,"9. It's not rocket science, but you can't make an omelette without breaking eggs.",9. It's not rocket science.
848,Mixed Metaphors/Idioms,"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
849,Mixed Metaphors/Idioms,"11. He's running out of steam, but the grass is always greener on the other side.",11. He's running out of steam.
850,Mixed Metaphors/Idioms,"12. The ball is in your court, but every cloud has a silver lining.",12. The ball is in your court.
851,Mixed Metaphors/Idioms,"13. You can't have your cake and eat it too, but it's a piece of cake.",13. You can't have your cake and eat it too.
852,Mixed Metaphors/Idioms,"14. Let the cat out of the bag, but don't count your chickens before they hatch.",14. Let the cat out of the bag.
853,Mixed Metaphors/Idioms,15. He's barking up the wrong tree at the end of the day.,15. He's barking up the wrong tree.
854,Mixed Metaphors/Idioms,"16. She's walking on thin ice, but Rome wasn't built in a day.",16. She's walking on thin ice.
855,Mixed Metaphors/Idioms,"17. Time flies when you're having fun, and a rolling stone gathers no moss.",17. Time flies when you're having fun.
856,Mixed Metaphors/Idioms,"18. Actions speak louder than words, but don't put the cart before the horse.",18. Actions speak louder than words.
857,Mixed Metaphors/Idioms,"19. Don't bite the hand that feeds you, but the pen is mightier than the sword.",19. Don't bite the hand that feeds you.
858,Mixed Metaphors/Idioms,"20. A picture is worth a thousand words, but it's better to be safe than sorry.",20. A picture is worth a thousand words.
859,Mixed Metaphors/Idioms,"21. You can lead a horse to water, but you can't make it drink with a silver spoon.","21. You can lead a horse to water, but you can't make it drink."
860,Mixed Metaphors/Idioms,"22. The proof of the pudding is in the eating, but all that glitters is not gold.",22. The proof of the pudding is in the eating.
861,Mixed Metaphors/Idioms,"23. Beauty is in the eye of the beholder, but the early bird catches the worm.",23. Beauty is in the eye of the beholder.
862,Mixed Metaphors/Idioms,"24. Don't put all your eggs in one basket, but time is money.",24. Don't put all your eggs in one basket.
863,Mixed Metaphors/Idioms,"25. There's no such thing as a free lunch, but money doesn't grow on trees.",25. There's no such thing as a free lunch.
864,Mixed Metaphors/Idioms,"26. When in Rome, do as the Romans do, but don't cry over spilled milk.","26. When in Rome, do as the Romans do."
865,Mixed Metaphors/Idioms,"27. Out of sight, out of mind, but it's the thought that counts.","27. Out of sight, out of mind."
866,Mixed Metaphors/Idioms,"28. You can't teach an old dog new tricks, but the show must go on.",28. You can't teach an old dog new tricks.
867,Mixed Metaphors/Idioms,"29. You can't have your cake and eat it too, but too many cooks spoil the broth.",29. You can't have your cake and eat it too.
868,Mixed Metaphors/Idioms,"30. Don't judge a book by its cover, but every dog has his day.",30. Don't judge a book by its cover.
869,Mixed Metaphors/Idioms,"31. Keep your friends close and your enemies closer, but the squeaky wheel gets the grease.",31. Keep your friends close and your enemies closer.
870,Mixed Metaphors/Idioms,"32. There's no smoke without fire, but you can't make a silk purse out of a sow's ear.",32. There's no smoke without fire.
871,Mixed Metaphors/Idioms,"33. Two heads are better than one, but the devil is in the details.",33. Two heads are better than one.
872,Mixed Metaphors/Idioms,"34. The squeaky wheel gets the grease, but you can't make an omelette without breaking eggs.",34. The squeaky wheel gets the grease.
873,Mixed Metaphors/Idioms,"35. A watched pot never boils, but the best things in life are free.",35. A watched pot never boils.
